article,description,category_broad,category_specific,spotify_url
Rose_Schlossberg,American actress and granddaughter of JFK,film/tv/theater,actor,
Sara_Foster,American actress,film/tv/theater,actor,
Shiori_Kutsuna,Japanese Australian Actress,film/tv/theater,actor,
Shyla_Stylez,Canadian pornographic actress,film/tv/theater,actor,
Sophia_Lillis,American actress,film/tv/theater,actor,
Sophie_Turner,English actress,film/tv/theater,actor,
Stephen_Graham,English film and television actor,film/tv/theater,actor,
Tom_Franco,American actor and television actor,film/tv/theater,actor,
Vijay_Deverakonda,Indian actor,film/tv/theater,actor,
Yashika_Aannand,,film/tv/theater,actor,
Willie_Taggart,"American college football coach, quarterback",sports,american football coach,
Alvin_Kamara,American football player,sports,american football player,
Carson_Wentz,American football quarterback,sports,american football player,
JuJu_Smith-Schuster,American football player,sports,american football player,
Lamar_Jackson,American football player,sports,american football player,
Matt_Ryan_(American_football),American football quarterback,sports,american football player,
Saquon_Barkley,American football running back,sports,american football player,
Theodore_Edgar_McCarrick,"20th and 21st-century American Catholic archbishop, former cardinal",religion,archibishop,
Michael_Avenatti,American attorney and entrepreneur,law/crime,attorney,
Michael_Cohen_(lawyer),American attorney,law/crime,attorney,
J._D._Martinez,American baseball player,sports,baseball player,
Brandon_Ingram,basketball player,sports,basketball player,
Jaylen_Brown,basketball player,sports,basketball player,
Jayson_Tatum,American basketball player,sports,basketball player,
Kyle_Kuzma,American basketball player,sports,basketball player,
Marvin_Bagley_III,American basketball player,sports,basketball player,
Mohamed_Bamba,American basketball player,sports,basketball player,
Shareef_O'Neal,,sports,basketball player,
Trae_Young,American basketball player,sports,basketball player,
Chris_Eubank_Jr.,British professional boxer,sports,boxer,
Camilla_Parker_Bowles,second wife of Prince Charles,royalty,british royal family,
Catherine_Middleton,"Wife of Prince William, Duke of Cambridge",royalty,british royal family,
Arunachalam_Muruganantham,"inventor from rural Coimbatore in the southern state of Tamil Nadu, India",business,business,
Carter_Page,American oil industry consultant,business,business,
Lawrence_Stroll,,business,business,
Phil_Murphy,"American businessman and diplomat, 56th Governor of New Jersey",business,business,
Tilman_Fertitta,American businessman,business,business,
Betsy_DeVos,11th United States Secretary of Education,politics,cabinet member,
Jim_Mattis,Current United States Secretary of Defense and former United States Marine Corps general,politics,cabinet member,
Michael_Flynn,25th United States National Security Advisor,politics,cabinet member,
Steven_Mnuchin,77th and current United States Secretary of the Treasury,politics,cabinet member,
Prue_Leith,"South African-British chef, writer, television personality, businesswoman",business,chef,
Colleen_Ballinger,"American comedian, singer and media personality",entertainment,comedian,
Michelle_Wolf,American comedian,entertainment,comedian,
Paige_Butcher,"American stand-up comedian, actor, and singer",entertainment,comedian,
Sam_Hyde,American comedian and prankster,entertainment,comedian,
Sam_Wills,New Zealand comedian,entertainment,comedian,
Lauren_Southern,Canadian libertarian commentator,politics,commentator,
Hardik_Pandya,Indian cricketer,sports,cricketer,
Rishabh_Pant,Indian cricketer,sports,cricketer,
Smriti_Mandhana,Indian cricketer,sports,cricketer,
Steve_Smith_(cricketer),Australian international cricketer,sports,cricketer,
John_Hinckley_Jr.,American attempted assassin of Ronald Reagan,politics,criminal,
Larry_Nassar,American serial child sexual abuser and physician,law/crime,criminal,
Barack_Obama_Sr.,Kenyan economist,business,economist,
Larry_Kudlow,American economist,business,economist,
Urjit_Patel,Indian banker,business,economist,
Zara_Tindall,daughter of Princess Anne and Olympic equestrian,royalty,equestrian,
Phoebe_Dahl,,business,fashion designer,
Adam_Rippon,American figure skater,sports,figure skater,
Evgenia_Medvedeva,Russian figure skater,sports,figure skater,
Brooks_Koepka,American professional golfer,sports,golfer,
Christopher_Steele,former British intelligence officer,politics,government,
Gary_Clark_Jr.,American guitarist and actor,music,guitarist,
Laurie_Hernandez,American artistic gymnast,sports,gymnast,
Sandeep_Singh,Indian field hockey player,sports,hockey player,
Dan_Avidan,American internet celebrity,entertainment,internet celebrity,
Danielle_Bregoli,American internet personality and rapper,entertainment,internet celebrity,
Neeraj_Chopra,Indian male javelin thrower,sports,javelin thrower,
Rod_Rosenstein,American lawyer,law/crime,lawyer,
Andrade_Cien_Almas,Mexican luchador,sports,luchador,
Joseph_P._Kennedy_Jr.,junior officer in the United States Navy and elder brother of John F. Kennedy,politics,military officer,
Paris_Jackson_(actress),American model and activist; daughter of Michael Jackson,film/tv/theater,model,
John_Paul_Getty_Jr.,wealthy American-born British philanthropist and book collector,business,philanthropist,
Jack_Schlossberg,Grandson of JFK,politics,political family,
Alexandria_Ocasio-Cortez,American politician and activist,politics,politician,
Andrew_Gillum,"American politician and Mayor of Tallahassee, Florida",politics,politician,
Dipak_Misra,45th Chief Justice of India,politics,politician,
Dominic_Raab,British politician,politics,politician,
Gretchen_Whitmer,American politician,politics,politician,
Hope_Hicks,White House Communications Director for U.S. President Donald Trump,politics,politician,
Ilhan_Omar,Somali American politician from Minnesota,politics,politician,
Jagmeet_Singh,Canadian politician,politics,politician,
Jair_Bolsonaro,Brazilian politician,politics,politician,
John_F._Kelly,American politician and military officer; White House Chief of Staff since July 2017,politics,politician,
John_Lewis_(civil_rights_leader),American politician and civil rights leader,politics,politician,
Jon_Huntsman_Jr.,"American politician, businessman, and diplomat",politics,politician,
Kellyanne_Conway,American strategist and pollster,politics,politician,
Leo_Varadkar,Irish Fine Gael politician,politics,politician,
London_Breed,mayor of San Francisco,politics,politician,
Matteo_Salvini,Italian politician,politics,politician,
Paul_Manafort,American political consultant,politics,politician,
Sebastian_Gorka,American politician,politics,politician,
Stacey_Abrams,House Minority Leader for the Georgia General Assembly,politics,politician,
Steve_Bannon,American media executive and former White House Chief Strategist for Donald Trump,politics,politician,
Tina_Smith,American politician,politics,politician,
Joe_Kennedy_III,U.S. Representative from Massachusetts,politics,politician,
Doug_Jones_(politician),US Senator and lawyer from Alabama,politics,politician,
Gloria_Macapagal_Arroyo,The 14th President of the Philippines from 2001 to 2010,politics,president,
Ram_Nath_Kovind,"Indian politician, 14th president of India",politics,president,
Jacinda_Ardern,current Prime Minister of New Zealand,politics,prime minister,
Charles_Leclerc_(racing_driver),Monegasque racing driver,sports,racing driver,
James_Matthews_(racing_driver),"British former professional racing driver, hedge fund manager, and heir to the Scottish title of Laird of Glen Affric",sports,racing driver,
Alex_Jones,"American radio host, author, conspiracy theorist and filmmaker",entertainment,radio host,
21_Savage,American rapper from Georgia,music,rapper,https://p.scdn.co/mp3-preview/0ee84d22da0c86b9f6d0d21735c869006d41ab5f?cid=774b29d4f13844c495f206cafdad9c86
6ix9ine,American rapper,music,rapper,https://p.scdn.co/mp3-preview/975aa3227f4d06fba4cd0a3de39bd72e8acaed6e?cid=774b29d4f13844c495f206cafdad9c86
A_Boogie_wit_da_Hoodie,American rapper from New York,music,rapper,https://p.scdn.co/mp3-preview/b8c2410a5acb68b462be6ac85f1312430e2b149c?cid=774b29d4f13844c495f206cafdad9c86
Cardi_B,"American rapper, television and internet personality and former exotic dancer",music,rapper,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=774b29d4f13844c495f206cafdad9c86
Juice_Wrld,Rapper,music,rapper,https://p.scdn.co/mp3-preview/46f3831fe907b5b98bc933e5a27f4a5252fc3104?cid=774b29d4f13844c495f206cafdad9c86
Kevin_Abstract,,music,rapper,https://p.scdn.co/mp3-preview/e2057c32537989cd4a051730fc7be488f34755b6?cid=774b29d4f13844c495f206cafdad9c86
Lil_Pump,American rapper,music,rapper,https://p.scdn.co/mp3-preview/c1136bf2d8c9c35a8b4e519ebca83813e8dfd180?cid=774b29d4f13844c495f206cafdad9c86
Lil_Uzi_Vert,American rapper and singer from Pennsylvania,music,rapper,https://p.scdn.co/mp3-preview/7add10ee576e9017030c09aa6d8bcaf682714859?cid=774b29d4f13844c495f206cafdad9c86
Playboi_Carti,American rapper,music,rapper,https://p.scdn.co/mp3-preview/5b2c9c4c25ccb7aa153ad9856bf163e2af267e85?cid=774b29d4f13844c495f206cafdad9c86
Quavo,American rapper from Georgia; 1/3 of Migos,music,rapper,https://p.scdn.co/mp3-preview/08016c1dad5b43ba62db359448a7f90ebbec71a6?cid=774b29d4f13844c495f206cafdad9c86
Rich_the_Kid,American rapper,music,rapper,https://p.scdn.co/mp3-preview/73768eb9d27bf4121829026c8ca29c37ace5c220?cid=774b29d4f13844c495f206cafdad9c86
Russ_(rapper),American rapper,music,rapper,https://p.scdn.co/mp3-preview/b6912a2077507660710d39ae6ba5c085891dc226?cid=774b29d4f13844c495f206cafdad9c86
Suga_(rapper),"South Korean rapper, record producer, and songwriter",music,rapper,https://p.scdn.co/mp3-preview/bc24526c6a5e4d2a63bdbf364705a6012ff2d649?cid=774b29d4f13844c495f206cafdad9c86
Takeoff_(rapper),"American rapper, member of the hip hop group Migos, was taken off Bad and Boujee",music,rapper,https://p.scdn.co/mp3-preview/08016c1dad5b43ba62db359448a7f90ebbec71a6?cid=774b29d4f13844c495f206cafdad9c86
Trippie_Redd,American rapper,music,rapper,https://p.scdn.co/mp3-preview/584dc6ddf8bd31207b4590c5e9501c389e4715d9?cid=774b29d4f13844c495f206cafdad9c86
XXXTentacion,American rapper and singer-songwriter,music,rapper,https://p.scdn.co/mp3-preview/5b5a9c4dba2f360fd6cb10df457d2d97ad1ae1f6?cid=774b29d4f13844c495f206cafdad9c86
YoungBoy_Never_Broke_Again,American rapper from Louisiana,music,rapper,https://p.scdn.co/mp3-preview/e862d38519014ce89cb5d578c5d37c09711ca23f?cid=774b29d4f13844c495f206cafdad9c86
Mohammad_bin_Salman,Saudi crown prince and minister of defense,politics,royalty,
Jamie_Linden_(writer),American screenwriter,film/tv/theater,screenwriter,
Jeff_Baena,,film/tv/theater,screenwriter,
Jon_Lovett,"American screenwriter, speechwriter, and television producer",film/tv/theater,screenwriter,
AJ_McLean,American male singer,music,singer,https://p.scdn.co/mp3-preview/b8c2410a5acb68b462be6ac85f1312430e2b149c?cid=774b29d4f13844c495f206cafdad9c86
Anne-Marie_(singer),British singer and songwriter,music,singer,https://p.scdn.co/mp3-preview/014f96202abf522b30d140eaa13f87bdb70d95fd?cid=774b29d4f13844c495f206cafdad9c86
Bad_Bunny,Puerto Rican singer,music,singer,https://p.scdn.co/mp3-preview/4c6dcffbd7c5794bbbf295b8d9d09bb9f45a2191?cid=774b29d4f13844c495f206cafdad9c86
Billie_Eilish,American singer-songwriter,music,singer,https://p.scdn.co/mp3-preview/667d929febdda3096a047d179d3819a2182595de?cid=774b29d4f13844c495f206cafdad9c86
Byun_Baek-hyun,South Korean singer,music,singer,https://p.scdn.co/mp3-preview/6fae651cae4450ee3a4e1e23769b3a63356b12ba?cid=774b29d4f13844c495f206cafdad9c86
Cheryl_(singer),"English singer, songwriter and television personality",music,singer,https://p.scdn.co/mp3-preview/2460be6cf5c23fa8e79e8a6744091b6f793a53c7?cid=774b29d4f13844c495f206cafdad9c86
D.O._(entertainer),South Korean singer and actor,music,singer,https://p.scdn.co/mp3-preview/6fae651cae4450ee3a4e1e23769b3a63356b12ba?cid=774b29d4f13844c495f206cafdad9c86
Dua_Lipa,British singer-songwriter,music,singer,https://p.scdn.co/mp3-preview/75a1b521de23958a2db9acf4fc8151999ee54bd7?cid=774b29d4f13844c495f206cafdad9c86
Gord_Downie,"Canadian musician, writer",music,singer,https://p.scdn.co/mp3-preview/8d8b1001a2a7579a44f4c6474f91c0f8d2f17939?cid=774b29d4f13844c495f206cafdad9c86
Howie_D.,American male singer,music,singer,https://p.scdn.co/mp3-preview/b8c2410a5acb68b462be6ac85f1312430e2b149c?cid=774b29d4f13844c495f206cafdad9c86
Jacob_Sartorius,American singer,music,singer,https://p.scdn.co/mp3-preview/7a88cfc9092317452ae477ee8e10fc216424775b?cid=774b29d4f13844c495f206cafdad9c86
James_Arthur,British singer and songwriter,music,singer,https://p.scdn.co/mp3-preview/00825cb1779b31d68964eda6f2a7911fc2ae96c6?cid=774b29d4f13844c495f206cafdad9c86
Jordan_Fisher,American singer and actor,film/tv/theater,singer,https://p.scdn.co/mp3-preview/58b4039b0480ed071d965398ce844cca477c47fa?cid=774b29d4f13844c495f206cafdad9c86
Jubin_Nautiyal,Indian singer,music,singer,https://p.scdn.co/mp3-preview/d717085307608af8198114d0ce3e9d9c4bc78d2d?cid=774b29d4f13844c495f206cafdad9c86
Kirstin_Maldonado,singer,music,singer,https://p.scdn.co/mp3-preview/da81b5155d9929f3ecd62b214b0012def8a9cb73?cid=774b29d4f13844c495f206cafdad9c86
Mandy_Harvey,American female singer,music,singer,https://p.scdn.co/mp3-preview/2b7d8a69de0fea9fd211c73945ba5baae3ac9cd2?cid=774b29d4f13844c495f206cafdad9c86
Normani,American singer,music,singer,https://p.scdn.co/mp3-preview/d53d5678b946219bd6df0b3d04ce0b3554f167d4?cid=774b29d4f13844c495f206cafdad9c86
Rag'n'Bone_Man,British blues and soul singer,music,singer,https://p.scdn.co/mp3-preview/986d03f0f255aba008564dc6364d8ffc17e46704?cid=774b29d4f13844c495f206cafdad9c86
V_(singer),South Korean singer and actor,music,singer,https://p.scdn.co/mp3-preview/bc24526c6a5e4d2a63bdbf364705a6012ff2d649?cid=774b29d4f13844c495f206cafdad9c86
Chloe_Kim,American snowboarder,sports,snowboarder,
Ademola_Lookman,English association football player,sports,soccer player,
Aleksandr_Golovin_(footballer),Russian association football player,sports,soccer player,
Alphonso_Davies,Canadian soccer player,sports,soccer player,
Giovani_Lo_Celso,Argentine footballer,sports,soccer player,
Hirving_Lozano,Mexican footballer,sports,soccer player,
James_Maddison,English footballer,sports,soccer player,
Lautaro_Martínez,Argentinian association football player,sports,soccer player,
Leon_Bailey,Jamaican association football player,sports,soccer player,
Loris_Karius,German association football player,sports,soccer player,
Lucas_Torreira,Uruguayan association football player,sports,soccer player,
Marcus_Rashford,English footballer,sports,soccer player,
Naby_Keïta,Guinean association football player,sports,soccer player,
Ousmane_Dembélé,French footballer,sports,soccer player,
Phil_Foden,English association football player,sports,soccer player,
Renato_Sanches,Portuguese association football player,sports,soccer player,
Richarlison,Brazilian association football player,sports,soccer player,
Steven_Nzonzi,French association football player,sports,soccer player,
Tammy_Abraham,English association football player,sports,soccer player,
Timothy_Weah,American professional soccer player,sports,soccer player,
Trent_Alexander-Arnold,English footballer,sports,soccer player,
Tyreek_Hill,American football player,sports,soccer player,
Vincent_Janssen,Dutch association football player,sports,soccer player,
Phil_Elverum,American musician,music,songwriter,
Neil_Gorsuch,Associate Justice of the Supreme Court of the United States,politics,supreme court justice,
Brendan_Dassey,,law/crime,television personality,
Ilana_Kloss,South African tennis player,sports,tennis player,
Danielle_Jonas,,entertainment,tv personality,
JoJo_Siwa,Hair Killer,entertainment,tv personality,
Paul_Teutul_Sr.,Motorcycle builder,business,tv personality,
Robert_Rinder,British barrister and TV personality,entertainment,tv personality,
Big_Cass,American professional wrestler,sports,wrestler,
Billie_Kay,Australian professional wrestler,sports,wrestler,
Cesaro_(wrestler),Swiss professional wrestler,sports,wrestler,
Liv_Morgan,American professional wrestler and model,sports,wrestler,
Natalya_Neidhart,Canadian professional wrestler and professional wrestling manager,sports,wrestler,
Peyton_Royce,Australian professional wrestler,sports,wrestler,
Sonya_Deville,an American professional wrestler,sports,wrestler,
Tyrus_(wrestler),professional wrestler,sports,wrestler,
Emily_V._Gordon,"American writer, producer and podcast host",writing,writer,
James_Gunn,"American writer, actor and filmmaker",writing,writer,
Michaela_Coel,"British poet, singer-songwriter, screenwriter, actress, playwright",writing,writer,
Mike_Cernovich,American writer,writing,writer,
Stan_Romanek,writer,writing,writer,
Carl_Benjamin,British YouTuber,entertainment,youtuber,
George_Miller_(entertainer),"Australian Japanese YouTuber, comedian, musician and web actor",entertainment,youtuber,
Jake_Paul,American actor and YouTube personality,entertainment,youtuber,
Liza_Koshy,"American actress, YouTube comedian and television host",entertainment,youtuber,
Logan_Paul,American social media entertainer and actor,entertainment,youtuber,
Ninja_(streamer),American Twitch streamer,entertainment,youtuber,
